NCESSCH,ga_full_id,SCHOOL_YEAR,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,System_School_ID,FAC_SCHTYPE,GRADE_RANGE,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR
130255001903,667-280,2024.0,667.0,Gwinnett County,280.0,Beaver Ridge Elementary School,667-280,E,PK-05,1302550,Beaver Ridge Elementary School,13,1978 Beaver Ruin Rd,Norcross,GA,30071,13,13135,Gwinnett County,21,33.9346,-84.1732,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13096,13005,2023-2024
130255001901,667-282,2024.0,667.0,Gwinnett County,282.0,Annistown Elementary School,667-282,E,PK-05,1302550,Annistown Elementary School,13,3150 Spain Rd,Snellville,GA,30039,13,13135,Gwinnett County,21,33.8032,-84.0686,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13095,13055,2023-2024
130255001938,667-285,2024.0,667.0,Gwinnett County,285.0,Hopkins Elementary School,667-285,E,PK-05,1302550,Hopkins Elementary School,13,1315 Dickens Rd NW,Lilburn,GA,30047,13,13135,Gwinnett County,21,33.9079,-84.1474,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13098,13005,2023-2024
130255001981,667-287,2024.0,667.0,Gwinnett County,287.0,Norton Elementary School,667-287,E,PK-05,1302550,Norton Elementary School,13,3050 Xavier Ray Ct,Snellville,GA,30039,13,13135,Gwinnett County,21,33.8099,-84.0094,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13095,13055,2023-2024
130255002005,667-288,2024.0,667.0,Gwinnett County,288.0,Minor Elementary School,667-288,E,PK-05,1302550,Minor Elementary School,13,4129 Shady Dr NW,Lilburn,GA,30047,13,13135,Gwinnett County,21,33.9177,-84.1291,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13109,13009,2023-2024
130255000296,667-294,2024.0,667.0,Gwinnett County,294.0,Nesbit Elementary School,667-294,E,PK-05,1302550,Nesbit Elementary School,13,6575 Cherokee Dr,Tucker,GA,30084,13,13135,Gwinnett County,21,33.8761,-84.1991,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13088,13009,2023-2024
130255002899,667-305,2024.0,667.0,Gwinnett County,305.0,Ivy Creek Elementary School,667-305,E,PK-05,1302550,Ivy Creek Elementary School,13,3443 Ridge Rd,Buford,GA,30519,13,13135,Gwinnett County,21,34.0971,-83.9364,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13104,13045,2023-2024
130255000972,667-295,2024.0,667.0,Gwinnett County,295.0,Fort Daniel Elementary School,667-295,E,PK-05,1302550,Fort Daniel Elementary School,13,1725 Auburn Rd,Dacula,GA,30019,13,13135,Gwinnett County,21,34.0446,-83.924,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13105,13045,2023-2024
130255001131,667-296,2024.0,667.0,Gwinnett County,296.0,Sugar Hill Elementary School,667-296,E,PK-05,1302550,Sugar Hill Elementary School,13,939 Level Creek Rd,Sugar Hill,GA,30518,13,13135,Gwinnett County,21,34.0998,-84.04,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1306,13099,13048,2023-2024
130255001633,667-297,2024.0,667.0,Gwinnett County,297.0,Hull Middle School,667-297,M,06-08,1302550,Hull Middle School,13,1950 Old Peachtree Rd,Duluth,GA,30097,13,13135,Gwinnett County,21,34.0136,-84.1032,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13099,13007,2023-2024
130255002197,667-298,2024.0,667.0,Gwinnett County,298.0,Mason Elementary School,667-298,E,PK-05,1302550,Mason Elementary School,13,3030 Bunten Rd,Duluth,GA,30096,13,13135,Gwinnett County,21,33.9963,-84.1189,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13099,13007,2023-2024
130255002324,667-300,2024.0,667.0,Gwinnett County,300.0,Stripling Elementary School,667-300,E,PK-05,1302550,Stripling Elementary School,13,6155 Atlantic Blvd,Norcross,GA,30071,13,13135,Gwinnett County,21,33.944,-84.2312,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13097,13040,2023-2024
130255003385,667-304,2024.0,667.0,Gwinnett County,304.0,Berkmar Middle School,667-304,M,06-08,1302550,Berkmar Middle School,13,4355 Lawrenceville Hwy NW,Lilburn,GA,30047,13,13135,Gwinnett County,21,33.9038,-84.1285,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13108,13009,2023-2024
